username,title,bullet_rating,blitz_rating,rapid_rating
michaelq2d5,GM,2793,2765,2903
bernd_stromberg,CM,2619,2701,0
g2_coder,FM,2350,2200,0
mennabarreto,FM,2251,2407,0
radojeiriz,FM,2388,2271,2489
pendragon619,CM,2237,2353,2008
spjacobi,FM,1369,1149,1886
shcufnairolf,FM,2265,2346,2013
emheyturq,FM,2622,2499,1958
jumbo,GM,2725,2827,2464
jrwright,NM,0,1651,1906
shnitez,FM,2703,2469,2094
skaternesto,NM,2440,2249,2609
damagedoers,FM,2484,2277,0
blitzking642,FM,2249,2502,1924
jrenatomaranhao,NM,2061,1968,1861
nicotira,NM,2138,2364,2142
sanan_sjugirov,GM,2957,2919,2658
chessshop,NM,2568,2673,0
esquivia,FM,2437,1906,0
king_kinto,CM,2150,2219,2099
sidarun,NM,2248,2237,2177
tittanok,GM,0,0,0
taxticsw2,FM,2678,0,0
jovencata,CM,2414,2540,2045
krigon,FM,0,2204,0
riccardoalaimo,NM,0,0,0
moderjason,NM,2806,2778,2453
thej11,GM,0,2560,2205
kirillgenius,CM,2400,2377,2213
rududuyk,CM,2165,2216,2200
klippfiskkjerringa,GM,0,2000,2171
twx4,CM,2150,2179,0
romadk,NM,2266,2385,0
antelacus,NM,2314,2180,2161
nochewycandy,NM,2820,2746,2475
aemulus20,NM,2577,2600,2582
begusdrasko,FM,2343,2487,2088
alexander-evdokimov,GM,0,2362,0
giraffe1912,NM,0,2001,1946
redwolf03,FM,2554,2448,1779
akgod,NM,1987,2077,2143
mc4chess,NM,2530,2357,0
defibaugh,NM,2452,2389,2441
zsoltkorpics,FM,1858,2153,1440
1d51-0,NM,2321,2072,0
sl0m,NM,1594,2117,2140
jonahwillow,FM,3171,2832,2179
kosanovicgoran,GM,0,2636,2028
johangunawan,FM,1951,2056,0
gmpeter008,GM,2390,2353,2057
oldturkishboy,NM,0,0,0
lordiron,FM,2561,2293,2431
lpsupi,GM,2775,2888,2707
maximych26,FM,2150,2277,2036
atalik,GM,2623,2660,2520
veneteanuc,NM,2183,2190,0
ebrimabah,FM,0,2162,1954
busygin,NM,2202,1909,2043
jackvino,FM,2514,2249,1952
chessforthesun,NM,2587,2609,2273
keitharkell,GM,2361,2477,2408
911master,NM,0,1900,1872
ruzigura,CM,1641,1628,1777
cristiancamilosoto,FM,2267,2254,0
ambaixador,FM,2410,2407,0
backreg,FM,2325,2621,2210
sirstrateg,FM,2336,2647,0
skeyman,NM,2264,2196,0
parintele_chess,FM,1954,2224,1398
joshweinstein,NM,2405,2239,2231
abhidabhi,GM,2471,2737,2328
pickelfan,NM,2150,2000,2000
libaaa,CM,0,2251,0
pakmaster,FM,2266,2286,2291
chefshouse,GM,2971,3107,2758
phriex,CM,2445,2382,1957
nimamideje,FM,2702,2602,2451
tirantes,GM,0,2460,2343
themagicmaik,NM,2253,2439,2343
zenosparadox,NM,1497,2187,1943
tejas_rama,NM,2619,2344,2130
macko06,FM,2519,2330,2000
11aresss,FM,2471,2120,2003
mamedyarov_play,GM,0,2921,0
fischwitsch,NM,0,2317,1956
jbd735,NM,2501,2393,2085
mhparag,FM,2186,2305,2296
yanidze,NM,2525,2337,2354
keene,GM,0,0,0
sengdaonumber2,NM,2384,2210,2043
coachlior,NM,2190,0,2009
124chess,GM,2512,2713,2244
almirdzhumaev,NM,2420,2072,0
smtheweirdone,GM,2522,2247,0
deviatkinandrey,GM,2690,2752,0
vinavr,NM,1901,2212,0
marvelanddcforlife,NM,2298,2284,2129
gatocorbis,FM,1930,2027,1888
jam1stfm,FM,2150,1830,0
vidavi,FM,2513,2376,2329
qowcrazy,CM,1437,2298,0
oyacosta,NM,2350,2206,0
bhulseatx,FM,1777,2211,0
szabadaba,FM,2607,2719,1765
thehappyfarmer,WGM,2410,2536,2552
vyotov,GM,2524,2610,2446
stasiek18,FM,2300,2491,2371
strelec64,GM,0,2502,0
steinerpro12,CM,1327,2003,2012
barretofkm,FM,0,1340,0
cristhiancruzsanchez,GM,2672,2580,2246
chess3054,FM,2629,2563,2300
joseph_truelson,NM,2554,2454,2141
scgamecock,NM,2114,2142,1820
ddtru,FM,1987,2468,2190
gngngngngngng,FM,2204,2282,2224
cocovitsch007,CM,2174,2190,2206
workhard91,FM,2471,2347,2038
pirlo1,FM,2261,2178,2020
fourqueens13,NM,2416,2419,2307
majorcoast,CM,2058,2057,1946
dev_shah2007,CM,2436,2388,2180
the-gambler,FM,0,2463,0
jaymemiranda,CM,2062,2277,1829
younguzbek,GM,2729,2576,2423
monty82,FM,2117,2341,1960
gmdrh,GM,0,0,0
oldbolt,GM,0,0,0
telarubo96,NM,2496,2400,2265
saltkettle,CM,2000,1663,1724
jeaston1,NM,2264,2184,1946
nidjatmamedov,GM,2660,2708,2600
mabe-car,NM,0,0,0
aya5ian,FM,2152,2236,0
shankland-ne,GM,0,0,2673
gelashvili-ny,GM,0,0,0
squishey,CM,2311,2313,1902
malhar9,FM,2434,2400,2353
brt6209,GM,0,2403,0
dim90,NM,2142,2377,2328
jaap-amesz,CM,2223,2329,0
tamirnabaty,GM,2920,2941,2554
gross-aleks,NM,2583,2607,2045
sl2000,NM,0,1876,1622
nenadlevar,FM,1628,1992,0
harry_rakkel,GM,2467,2546,2250
weng_pogi,GM,2353,2205,0
savelijtartakover,GM,2249,2729,2490
chesscoachtaipei,CM,2351,2304,2326
turquoise_2701,CM,2211,2254,2065
israeliking,NM,2232,2176,0
pawnhopper316,NM,2326,2422,2053
hustlestandard,GM,2639,2482,2139
bvsn,NM,2160,2375,1911
daly-phi,NM,0,0,0
clapton,FM,2219,2333,1347
khazarbabazada007,FM,2855,2805,2626
swapchesspathshala,GM,0,1265,0
wizarddesert,FM,0,1767,1809
shoshall,NM,0,2106,2168
therigos,FM,2704,2496,2010
kxmo13,NM,2207,2155,0
panter1307,FM,2037,2280,1852
lovinski,FM,2465,2367,1816
cedrhask,NM,0,1652,1542
little-gnome,FM,2382,2349,1665
dragansolak,GM,2522,2443,2512
saccona_silvano_m,NM,2364,2253,2270
simplechess,FM,2195,2270,0
vataros,FM,2530,2397,0
chesspanda,NM,2046,2188,0
fmalexhdez,FM,0,2204,2218
balakrishnan-nj,NM,0,0,0
tiocridineno,NM,2102,2343,2045
babegroot,GM,2781,2874,0
michael_c_forster,FM,0,1796,0
lucky_puncher,FM,2250,2312,0
kgambitman,NM,1847,1780,2030
kuzubovyuriy,GM,2808,2820,2455
mvpjs31,GM,1000,1000,822
killertoy,FM,0,2208,0
iversonas,NM,2218,2131,0
tagliata,FM,2096,2348,2259
sargissyansargis,FM,2429,2358,1139
dvahrasta,FM,0,2471,1943
checom,GM,0,2047,0
romulocardoso,NM,2229,2115,1915
sedlak83,GM,0,2594,0
nickmatta,NM,2510,2450,2002
mightygmpretender,NM,2618,2557,2472
road2gm3000,NM,2231,2262,2095
mikhal867,NM,0,2418,0
nargalz1us,NM,2149,2369,2068
surfari0,NM,2153,2133,0
bravehorse,NM,2648,2619,2531
danielking,GM,0,1547,0
2l8iwun,NM,2047,2177,1955
sotochess,FM,2045,2542,2189
leboshnitzel,NM,2182,2154,2401
benediktjonasson,FM,2196,2001,0
umutataakbas,NM,2885,2691,2428
pretzel2,NM,2107,1923,0
buckeye22,NM,1644,1927,1891
dhammiko,CM,2082,2011,1648
george1977,FM,2289,2274,0
chesscoadch,NM,2246,2375,0
marcocorvi,FM,1873,2191,1439
coocloo,NM,2131,2063,1963
shalfhide,FM,2300,1941,0
mfguimaraes,FM,2400,2421,2408
trickytrapchess,NM,2432,2381,2289
gxuchess,NM,0,0,0
qingdom,CM,2053,2082,2125
diegomrchess,CM,1453,1899,1888
argyllprince,GM,0,2581,0
icy_denial,NM,0,2200,1970
fmmorbz,FM,2429,2453,2220
marianov_podstavnikov,CM,2229,2384,1932
joshb91,NM,1817,1937,2070
steven_rojas,FM,2669,2539,2100
donpreuss,CM,2285,2277,1953
yoredea,GM,2726,2610,0
coachneil,NM,0,1825,0
chuchofrio1,CM,2281,2338,2218
marmont-arz,NM,0,0,2201
jadeit90,CM,2534,2361,2545
fiddle99,FM,2628,2023,0
azgm,GM,0,2162,0
volovier,FM,2722,2796,0
judgeholden13,NM,2238,2273,2061
chickenmanman4u,CM,2047,2204,2018
sion2200,NM,2461,2446,2000
jordanloyd2020,FM,2326,2347,2109
enpaussante,NM,0,0,0
flabrezu,NM,2252,2090,0
renehp,FM,2464,2527,1193
theredking89,GM,2471,2532,0
initiatingasc,NM,2502,2446,0
siemba,FM,2262,2402,2199
storchnoi,NM,1775,2002,1856
hgtaiiwwms,NM,2800,2711,2226
earthen_deer,WGM,2325,0,2442
afrimfejzullahu,FM,0,2171,2084
itsmyknights,NM,1760,2193,1864
nevigaming,FM,2369,2168,1921
godspeed,GM,2878,2903,1736
theoneandonlyhedgie,NM,2090,2163,1689
handszar,GM,1778,2372,0
dynamikus,GM,2660,2866,2307
masterofpuppets2,FM,2285,2354,0
als2005,NM,2274,2302,2156
renier07,GM,0,2715,0
kaka666,GM,2885,2834,2321
elcoachrene,NM,1892,2210,2208
conorodonnell99,FM,2134,2240,1962
