username,title,bullet_rating,blitz_rating,rapid_rating,site_name
DrGrekenstein,GM,3172,2901,0,lichess
Blazinq,FM,2504,2064,0,lichess
Federicov93,GM,2083,2506,2602,lichess
EltajSafarli,GM,2635,1565,2533,lichess
HouseMartell,FM,2404,1963,1856,lichess
Elda64,GM,2512,2381,2437,lichess
calm_and_ready,IM,0,0,0,lichess
recapture,GM,2324,2225,0,lichess
PabloTapie,FM,2118,1740,1735,lichess
Convchess,IM,2191,1681,2084,lichess
Durarbayli,GM,2280,2203,1944,lichess
Dr-CRO,GM,2300,2578,2104,lichess
nfds,FM,2351,1676,1188,lichess
KennediKen,WIM,2159,1695,0,lichess
dmitrijiiiGM,CM,2543,2261,2382,lichess
Leon009,GM,2613,2457,0,lichess
Roaccutane,NM,2422,0,0,lichess
adnan_nn,FM,0,0,0,lichess
titan00013,GM,1958,1618,1606,lichess
aradhyagarg2000,FM,2477,2422,1998,lichess
Patzel,IM,2126,1840,2550,lichess
mrataque,FM,2106,2066,0,lichess
santyaga2020,FM,2069,2194,0,lichess
A_Kukhmazov,IM,2050,1795,2455,lichess
maxip32,IM,2204,1706,0,lichess
hansontwitch,GM,2928,2654,1670,lichess
Barbikusz,WIM,2335,1807,0,lichess
betheking,GM,2113,2063,0,lichess
xberli,FM,2306,2208,2013,lichess
mauroampie,FM,1808,2112,0,lichess
Eyesless18,GM,1962,2486,0,lichess
gravereaper,IM,2531,2400,2055,lichess
Ch1llax,IM,2376,2087,2170,lichess
juanchesst,FM,1756,1971,0,lichess
Kanthecarowin,NM,1256,1965,2084,lichess
supergelo12,IM,0,0,0,lichess
franksa,FM,2008,1849,2147,lichess
SmokedGray,IM,2245,1697,1720,lichess
nightfox,NM,1929,2169,0,lichess
getme-a-username,FM,2043,2140,2424,lichess
ajedrez11,FM,2062,2119,0,lichess
larso,IM,2510,1641,2134,lichess
kmilooo,GM,1833,2038,1780,lichess
Bibekthing,CM,1949,2177,1662,lichess
Din-don-dan,FM,1959,2058,1747,lichess
diablanni,CM,2132,1679,1846,lichess
lopatka1234,FM,1939,1532,2151,lichess
Attila76,FM,1600,1735,0,lichess
pigonthewing,GM,1676,1828,1599,lichess
skavpl,FM,2230,2374,1904,lichess
RetiLangweiler,FM,0,0,0,lichess
papasi,CM,2220,2310,2370,lichess
Donskov_AV,FM,1720,2092,1819,lichess
HelgeA,IM,1813,2184,1933,lichess
Samjrao,CM,0,0,0,lichess
CainMarko,FM,2160,2407,0,lichess
VadimCernov,IM,2181,2300,1602,lichess
Cuajada_Zero,CM,1887,1771,1927,lichess
BrutneySpears,CM,1822,1958,1798,lichess
kaffrchik,FM,0,0,0,lichess
AbdUllah1989,CM,1483,2077,1667,lichess
Duochess,WFM,2033,2072,1683,lichess
gmroedor,CM,2043,1701,2068,lichess
OlgaGut,WIM,1844,2005,2089,lichess
ajedrez11b,CM,2042,2088,2028,lichess
AnnaSchach,WIM,1474,1663,1337,lichess
Hariputter,FM,2312,2240,0,lichess
malybalaganiarz,WIM,2051,1977,2193,lichess
GoValya,WGM,2152,2263,0,lichess
DrVelja,GM,2476,2466,0,lichess
SuryaYuanaSMN,NM,1904,2074,1841,lichess
UntilItIsOtherwise,NM,2227,2502,1964,lichess
Fischerev72,NM,1955,2099,0,lichess
tritarov1960,IM,1821,2266,1954,lichess
AAponte,CM,1609,2206,1384,lichess
borobudur70,GM,2527,2124,1482,lichess
SF-46,FM,2319,2324,2046,lichess
GodDMuhammad,NM,2364,2114,1719,lichess
rdm89,FM,1757,1996,2193,lichess
shineatchess,IM,1562,1987,0,lichess
Paulo_Dias,IM,1640,1808,1712,lichess
Ramyres,WFM,1776,2025,1907,lichess
enpassant128,FM,1822,2270,2089,lichess
cucumber4,CM,2193,2357,0,lichess
Sergejs_Klimakovs,FM,1886,2315,2459,lichess
ubiq,FM,2015,2294,2094,lichess
zenych,WFM,2111,2075,1527,lichess
Olenahess,WIM,1704,1806,1489,lichess
crusher64,IM,2214,2429,1862,lichess
DuccDuccDucc,FM,2240,2447,2230,lichess
Philosopherr,FM,2501,1895,847,lichess
dmitry-lavrik,IM,2405,2319,1679,lichess
behappii,WFM,1851,1892,1736,lichess
ummi_fisabill,WIM,2056,1671,2289,lichess
haychesspoker,FM,1493,1854,1482,lichess
Arnold-2005,FM,2564,2029,2266,lichess
ebijo,FM,2355,1668,0,lichess
Cafeschopenhauer,FM,0,0,0,lichess
SGabor89,FM,2142,2273,1692,lichess
chessplayer1964,NM,2119,2097,1354,lichess
VladimirBelous,GM,2478,2579,2375,lichess
csati17,FM,2357,1780,2191,lichess
Serendipity4Me,WFM,1722,1817,1813,lichess
Terminator2018,CM,1352,1890,1204,lichess
Martini99,IM,1669,2235,1699,lichess
invencible99,FM,1610,2618,1665,lichess
IljaSir,IM,2340,2015,1678,lichess
LuisMarini,IM,1955,2005,1937,lichess
TimeToShine,FM,1881,2121,1786,lichess
Michelle7,WIM,1788,2058,1964,lichess
Enchanteur,WFM,1948,1674,1428,lichess
Azde,CM,1764,1736,1964,lichess
Mc_Facker,IM,2302,1767,1852,lichess
chika3000,CM,1868,2093,2084,lichess
ben13,NM,1986,1802,2024,lichess
DrBendeguz,CM,1328,2003,2200,lichess
WEPKINS,FM,1799,1743,1644,lichess
Mishka_The_Great,FM,2443,1839,2519,lichess
ZibbitVideos,FM,1961,1978,1981,lichess
ditkin,NM,2129,2022,1985,lichess
dau_npukypumb,FM,2440,2480,0,lichess
MarveFleksnes,GM,2753,2169,0,lichess
alawwyaka,CM,0,0,0,lichess
Olegator712,FM,1999,1847,1812,lichess
RonenHarZvi,GM,2678,2224,0,lichess
ChessFromMars,IM,1786,2339,2267,lichess
DavidcabTOP9,CM,1399,2046,2037,lichess
Chempiblinka,WFM,2134,1940,2509,lichess
Thekingdoctor,FM,2211,2089,1992,lichess
klimkoj,FM,1152,1485,2201,lichess
Smirnov85,FM,1630,1620,2075,lichess
imivangalic,IM,2302,1712,1749,lichess
sebastiano1908,FM,2156,2254,1493,lichess
leafbewildered,WFM,2126,1710,1716,lichess
andrewrun,NM,2059,2021,2513,lichess
Minoli,IM,2215,2298,2360,lichess
ecwinslow,IM,2100,1951,2256,lichess
skoyen99,FM,1992,2073,2099,lichess
Ratkovic_Miloje,GM,2312,2395,1596,lichess
Poudini,GM,2190,2448,0,lichess
AndreyKvon,GM,2044,2212,1337,lichess
hessed26,GM,2088,1924,1269,lichess
rkurayan,IM,1711,1717,1940,lichess
mazetofonias,FM,2417,2130,0,lichess
Computercheat,FM,2487,2289,0,lichess
erka1118,FM,0,0,0,lichess
viratTheRoss,CM,1749,1685,2057,lichess
Rasul_Musaev,FM,2013,2120,0,lichess
Fusik1,FM,0,0,0,lichess
rolly9891,NM,2062,1991,2408,lichess
MrKokoba,FM,1713,2552,0,lichess
sabrina_humaira,WFM,2050,2231,0,lichess
ScaryClown_Pennywise,FM,2400,2004,0,lichess
Atilla_Eynullayev,FM,2494,2287,1949,lichess
Patonotucupi,CM,1758,2057,2203,lichess
Diaschess88,FM,2035,2389,2093,lichess
d-pawn,CM,1951,1879,2017,lichess
Fortitudine,NM,2273,2127,0,lichess
tandaleo,FM,1618,1838,1647,lichess
Minty0209,WFM,1809,1862,1986,lichess
JosephTruelsonRAR,NM,2242,2257,1906,lichess
chechess888,FM,1859,1662,1339,lichess
Escudeyro,CM,1854,1912,1648,lichess
MrSuccess,IM,2322,2474,1649,lichess
EminovOrkhan,FM,2337,2507,1526,lichess
anam_jeddut,NM,1943,1979,1596,lichess
ahmedotaleb,CM,1988,1749,1617,lichess
