,username,title,bullet_rating,blitz_rating,rapid_rating
0,DrGrekenstein,GM,3172,2901,0
1,C9C9C9C9C9,GM,3069,2715,1498
2,toivok3,IM,2345,1709,2400
3,drop_stone,GM,2519,2090,0
4,alireza2003,GM,2747,1749,1756
5,junglebook1,GM,2717,2804,0
6,Night-King96,GM,1978,2462,0
7,mutdpro,IM,2531,1689,1852
8,Zhigalko_Sergei,GM,2707,2597,2298
9,Vladimirovich9000,GM,2438,1682,0
10,iamstraw,GM,2884,2629,2184
11,sumsar42,GM,2428,2342,2153
12,OhanyanEminChess,FM,1655,2086,2464
13,ZodabwitsaIM,IM,2701,2501,0
14,SaraciNderim,IM,2443,2552,2378
15,RD4ever,GM,2565,2258,2357
16,RebeccaHarris,GM,2605,2008,1655
17,Amin_____tb,GM,2547,2495,2107
18,Platy2,GM,1616,1839,1634
19,MeneerMandje,IM,2245,2348,2378
20,samisahi,IM,1792,2382,2201
21,Blazinq,FM,2504,2064,0
22,Riquelme93,GM,2697,2350,2271
23,Federicov93,GM,2083,2506,2602
24,EltajSafarli,GM,2635,1565,2533
25,HouseMartell,FM,2404,1963,1856
26,two64brocc,FM,2407,2067,0
27,hitter1999,GM,1945,2261,2242
28,liczner,FM,2286,2363,1500
29,cicergross,GM,1920,2586,2144
30,umutcrazy,NM,0,0,0
31,Niclox,IM,2192,2198,1977
32,Infernal_XaM,GM,2729,2473,2367
33,Arka50,GM,2305,2042,2510
34,Clown_laughing_at_u,IM,0,0,0
35,Elda64,GM,2512,2381,2437
36,srinathbaggins,GM,1710,1646,0
37,yyoochess,IM,1619,2035,2405
38,calm_and_ready,IM,0,0,0
39,DenishevM,FM,2346,2342,1669
40,recapture,GM,2324,2225,0
41,msb2,GM,2239,2297,0
42,arystanner23,IM,2421,1852,1281
43,Arnelos,GM,1712,2532,2465
44,abrito99,FM,2451,2297,0
45,Roshka_Yevgeniy,IM,2463,1834,2060
46,BlueGreensun,GM,2458,2323,1577
47,jonasbjerre,GM,2240,2484,0
48,Gamebreaker2,CM,2316,2271,1897
49,rasulovvugar,GM,2407,2359,1926
50,BabaRamdev,GM,2749,2160,2267
51,ElHelvetico,GM,2459,2016,0
52,PabloTapie,FM,2118,1740,1735
53,Convchess,IM,2191,1681,2084
