username,title,bullet_rating,blitz_rating,rapid_rating
123lt,GM,2725,2704,2482
124chess,GM,2512,2713,2244
1977ivan,GM,2650,2707,2342
1stsecond,GM,2851,2655,2496
4thd-alpeacefulmoon,GM,0,0,0
64aramis64,GM,0,2957,2497
64arthos64,GM,0,0,2418
64atilla64,GM,0,2380,2785
64dartagnan64,GM,0,3088,2514
64genghis64,GM,0,0,2277
64leonidas64,GM,0,0,2696
64porthos64,GM,0,2805,2492
64pyrrhus64,GM,0,2820,0
731291,GM,2642,2671,2277
a-adly,GM,2984,2845,2720
a-fier,GM,2713,2771,2434
abasovn,GM,2979,2890,2321
abhidabhi,GM,2471,2737,2328
abhijeetgupta,GM,2679,2895,2530
abhijeetgupta1016,GM,2750,2854,0
abhijeetonyoutube,GM,2759,2753,2759
abhyak,GM,0,2256,2579
absentzest,GM,0,2401,2248
abykhovsky,GM,2841,2846,2499
actorxu,GM,2530,2850,0
adaro,GM,2844,2795,0
adham_fawzy,GM,2637,2727,2220
adiosabu,GM,0,2509,2499
afgano29,GM,2580,2652,2257
aggy67,GM,2566,2421,0
agser,GM,2972,2383,0
airgun1,GM,0,2421,0
aivanov-ne,GM,0,0,0
akobian-sea,GM,0,0,2697
akobian-stl,GM,0,0,2717
akshatchandra,GM,2861,2812,0
akshayraj_kore,GM,2250,2704,1977
alefedorov,GM,0,2503,2374
aleksa74,GM,2684,2635,2059
aleksandrovaleksei,GM,0,2785,2440
aleksey_sorokin,GM,2842,2883,2354
alexander-evdokimov,GM,0,2362,0
alexanderl,GM,2752,2844,2661
alexander_donchenko,GM,2690,2790,2600
alexander_moskalenko,GM,2911,2753,2389
alexander_zubov,GM,3060,2985,2726
alexandr_predke,GM,0,2749,0
alexchess1062,GM,3067,3018,0
alexchess1984,GM,2622,2607,2251
alexcolovic,GM,0,0,0
alexeishirov,GM,2732,2872,2861
alexhuzman,GM,0,2693,0
alexonischuk,GM,0,2196,1369
alexrustemov,GM,2700,2808,2550
alexsur1981,GM,2430,2833,0
alexvangog,GM,0,2790,2488
alexyermo,GM,1869,2121,1495
alex_goloshchapov,GM,0,2053,1300
alex_stripunsky,GM,2691,2652,1563
algeriano22,GM,2625,2650,0
allanstig,GM,2651,2590,2491
almo64,GM,0,2744,2534
alphaodin,GM,2759,2917,0
amintabatabaei,GM,2919,2933,2610
amir-zaibi,GM,2545,2253,2048
amirbagheri78,GM,2682,2603,2088
amirreza_p,GM,2836,2721,2255
anaconda1983,GM,0,2498,2448
anand,GM,0,0,0
andabata,GM,2445,3223,0
andrbaryshpolets,GM,2694,2633,2484
andreikka,GM,2910,2938,2728
andrei_belozerov,GM,2376,2489,2532
andrejs_sokolov,GM,0,2706,0
andreystukopin,GM,2616,2687,2593
andyrodri,GM,0,2419,2457
angelogm,GM,2840,2712,0
anishgiri,GM,3169,3033,2690
anishonyoutube,GM,3155,3009,2948
anka-sea,GM,0,0,0
annawel,GM,3130,2938,2570
anna_muzychuk,GM,2624,2642,2802
anonymous1762,GM,2761,2776,2274
anthonywirig,GM,2691,2889,2300
antipov_mikhail_al,GM,2807,2779,2532
antonshomoev,GM,2700,2726,0
antonsmirnov,GM,2871,2976,2458
anton_demchenko,GM,2735,2878,2643
anuar_is,GM,2766,2780,2589
anurag328,GM,2806,2651,0
aoitsukibluemoon,GM,0,0,2669
aradej,GM,0,2547,2337
arambai,GM,3211,2981,0
arcymisie,GM,2646,2629,0
arencibia,GM,2390,2493,1848
argyllprince,GM,0,2581,0
ariancito1,GM,2543,2527,2500
arjunerigaisi2003,GM,3174,2922,0
arkonada50,GM,2650,2541,0
arm-akiba,GM,2884,2914,2562
armenianlion,GM,3090,0,2754
arnaudovp,GM,2527,2647,2368
arseniy_nesterov,GM,2939,2937,2341
artem_ilyin,GM,2649,2481,2403
arthurkogan,GM,0,2618,0
art_vandelay1980,GM,0,2670,0
arvika,GM,2626,2712,2544
aryamabreu,GM,2535,2706,2612
aryangholami,GM,2598,2761,2249
aryantari,GM,3039,2902,2638
aryashitake,GM,3272,3099,0
asadlivugar,GM,2674,2791,2517
aspired,GM,2803,2687,2471
assezde36,GM,2700,2708,0
astralpulse,GM,0,2657,2398
atalik,GM,2623,2660,2520
atomrod,GM,2035,2364,0
attack2mateu,GM,2867,2707,2647
attackgm,GM,0,2234,0
attilaczebe,GM,2234,2332,2199
augustomatraga,GM,0,2440,2199
avantage_ru,GM,0,2803,0
averagerecord,GM,3000,2972,0
avetik_chessmood,GM,2776,2921,0
avitalbor,GM,2755,2791,2536
avolodin,GM,2835,2625,0
axves,GM,2150,2505,0
aygehovit1992,GM,2584,2655,2162
azerichess,GM,3180,3026,2673
azerichessss,GM,2255,2814,0
azeryahu,GM,2476,2733,1995
azgm,GM,0,2162,0
azikom,GM,2449,2684,2429
azzaro25,GM,3047,3011,0
b-man,GM,2559,2548,2360
b-unit,GM,2486,2423,2404
babegroot,GM,2781,2874,0
baby_legs,GM,2364,2682,2445
bacallao2019,GM,2750,2691,2475
bacyanide,GM,2250,2488,2512
baipi2010,GM,2504,2117,0
baki83,GM,2773,2819,2509
bakki78,GM,2870,2754,2639
baku_boulevard,GM,3051,3030,0
bancsoo,GM,2714,2781,2583
bankrotten,GM,0,2348,0
barcelona_guy,GM,2714,2666,0
barcenilla-arz,GM,0,0,2583
bartoszsocko,GM,2741,2768,0
barys1974,GM,2476,2639,1954
barzed,GM,2901,2710,2311
batica1984,GM,2769,2807,2666
batolovic,GM,2260,2486,846
bazarov04,GM,2511,2727,2217
beca95,GM,2778,2826,2662
becerra-mia,GM,0,0,2616
beebucks,GM,0,0,0
belabadea21,GM,0,2284,0
benjamin-nj,GM,0,0,0
bentsfriend,GM,0,2506,2236
berny643,GM,2500,2591,2252
besmall,GM,2086,2273,2453
bestcoacheverr,GM,0,2926,0
bfinegold-stl,GM,0,0,0
bhat-sf,GM,0,0,2555
bigfish1995,GM,3013,2980,2473
bilelou,GM,2642,2627,0
bilguunsu,GM,2624,2728,2365
billiekimbah,GM,2873,2933,0
bilodeaua,GM,2927,2864,0
blagid,GM,0,2515,0
blefer66,GM,0,2760,2500
blindfoldkrikor,GM,1927,2327,0
blindginger,GM,0,2403,0
blindlast7samurai,GM,0,2280,0
blindtakes,GM,2552,2405,0
blueshark23,GM,2422,2534,0
bluewizzard,GM,2916,2882,0
bmw326,GM,0,2681,2097
bobanbogosavljevic,GM,2772,2614,2242
bobbyhall222,GM,0,0,0
bocah_sakit,GM,2934,2791,2491
bocharovd,GM,2640,2745,2307
bogdandeac,GM,2894,2956,2683
bonamente,GM,2252,2403,1719
bonca64,GM,2448,2790,2182
bonuspater18,GM,2703,2629,2625
boo786,GM,0,2380,2385
boorrj,GM,3025,2964,2600
borisk62,GM,0,0,0
bosiocic,GM,2229,2741,2693
brainwolf,GM,1904,2483,0
brandonjacobson,GM,3137,3088,2417
brightthunder,GM,2659,2660,2265
brt6209,GM,0,2403,0
bryansmith,GM,0,2609,0
bubacik,GM,2864,2854,0
bubi6,GM,1701,2700,0
buffy7,GM,2742,2584,0
bui2512,GM,2550,2403,2050
burbur555,GM,1813,2554,799
bustedpack,GM,2422,2671,0
bykhovsky-stl,GM,0,1200,2625
byniolus,GM,2822,2696,2051
c-25,GM,2299,2415,0
caefellion,GM,0,2459,0
caissa12,GM,2367,2312,0
captainjames,GM,2574,2761,2206
carlosalbornoz,GM,2750,2900,2407
cassoulet,GM,2733,2705,2262
cayse,GM,0,2697,0
ccgrandmaster,GM,0,0,0
cemilcan,GM,2645,2784,0
ceraunophilmera,GM,2944,2911,0
cerdasbrs,GM,0,2242,2445
chabanon,GM,2352,2542,2344
chadaevnikolay,GM,2625,2879,2287
champ2005,GM,3105,2946,2507
charbonneau-ny,GM,0,0,0
charlatante,GM,2536,2712,0
checkmate_107,GM,2799,2731,2245
checky2015,GM,2939,2857,1691
checom,GM,0,2047,0
chefshouse,GM,2971,3107,2758
chepaschess,GM,2821,2904,2496
chernobay_artem,GM,2473,2535,2383
chessasuke,GM,2809,2513,2492
chessawp,GM,2714,2865,2585
chessbrah,GM,3056,2991,2928
chessdjw,GM,2615,2761,2336
chessdude,GM,2501,2559,2600
chesseducation4u,GM,2203,2157,2315
chessfatbear,GM,2814,2762,0
chessfreak35,GM,0,2500,2506
chessialist,GM,2508,2648,2302
chessking518,GM,2714,2821,0
chessmastaflash88,GM,0,2974,0
chessmisic,GM,0,2344,2000
chessmood,GM,1627,2783,0
chessnerdstv,GM,2650,2608,0
chessonado,GM,2792,3023,0
chessonthemat007,GM,0,2815,0
chesspanda123,GM,3119,2965,2754
chessqueen,GM,2608,2694,2579
chessskool,GM,2864,2753,2536
chesstrainer2042,GM,2288,2501,2113
chesstraining77,GM,2219,2230,1675
chesswarrior7197,GM,2975,2974,2633
chessweebs,GM,3002,2915,2525
chesswolf1210,GM,0,2642,2788
chesswy,GM,2541,2459,0
chipsbeer,GM,3104,3019,0
chirila-dal,GM,0,0,2600
chito89,GM,2858,2816,2280
chopper1905,GM,2862,2963,2604
chowman64,GM,0,2651,0
