id,ranked,time_control,status,winner,white,black,moves
7c4f0932-a899-11dd-8000-000000010001,True,blitz,abandoned,aardvarklives,MennaBarreto,aardvarklives,1. e4 e6 2. d4 d5 3. Nc3 c6 4. e5 Bb4 5. Qg4 Bxc3+ 6. bxc3 g6 7. h4 Qa5 8. Rh3 f6 9. h5 fxe5 10. hxg6 Nf6 11. g7 Rg8 12. Qg5 Nbd7 13. dxe5 d4 14. exf6 Qxg5 15. Bxg5 Kf7 0-1
0e4e9250-2bec-11de-8000-000000010001,True,blitz,timeout,haukudoshi100000000,haukudoshi100000000,MennaBarreto,1. Nc3 d5 2. d4 Nf6 3. a3 Nbd7 4. Bg5 h6 5. Bh4 e6 6. e3 c5 7. Bb5 a6 8. Ba4 b5 9. Bb3 c4 10. Ba2 Bb7 11. a4 b4 12. Nce2 a5 13. Nf3 Bd6 14. c3 O-O 15. h3 Qc7 16. Bxf6 Nxf6 17. g4 Ne4 18. g5 hxg5 19. h4 g4 20. Ng5 g3 21. f4 Nf2 22. Qc2 g6 23. Nxg3 Nxh1 24. Nxh1 1-0
55c1ca0a-a633-11de-8000-000000010001,True,blitz,checkmated,MennaBarreto,MennaBarreto,Marcoolio,1. e4 d6 2. d4 Nf6 3. Nc3 b6 4. Nf3 Bb7 5. Bb5+ Nbd7 6. e5 dxe5 7. dxe5 Ne4 8. e6 fxe6 9. Ne5 a6 10. Bxd7+ Qxd7 11. Qxd7# 1-0
768a1fa8-a633-11de-8000-000000010001,True,blitz,checkmated,MennaBarreto,Frak27,MennaBarreto,1. e3 e5 2. c3 d5 3. g3 Nf6 4. Bg2 Bg4 5. f3 Be6 6. h3 Bd6 7. b4 Nh5 8. a3 Nxg3 9. Rh2 Qh4 10. Ne2 Ne4+ 11. Kf1 Qf2# 0-1
38ce6dda-a94e-11df-8000-000000010001,True,blitz,timeout,MennaBarreto,gabz29,MennaBarreto,1. e4 c5 2. Nf3 d6 3. Be2 Nc6 4. O-O Nf6 5. d3 g6 6. c4 Bg7 7. Nc3 Bg4 8. h3 Bxf3 9. Bxf3 O-O 10. Bg5 h6 11. Bxf6 Bxf6 12. Qe2 Nd4 13. Qd1 e6 14. a4 Be5 15. Ne2 Nxf3+ 16. gxf3 Qg5+ 17. Kh1 Qh5 18. Ng1 Qh4 19. Qe2 Qf4 0-1
d1fd8432-a94e-11df-8000-000000010001,True,blitz,resigned,MennaBarreto,MennaBarreto,poseidon68,1. Nf3 e5 2. Nxe5 Bd6 3. Nf3 Nf6 4. d4 Ne4 5. Nbd2 Nxf2 6. Kxf2 O-O 7. e4 Bb4 8. Bd3 Ba5 9. Rf1 d5 10. e5 Bg4 11. Kg1 Nc6 12. c3 Ne7 13. Nb3 Bb6 14. Bg5 a5 15. Qe1 a4 16. Qh4 Bf5 17. Bxe7 Qd7 18. Bxf5 Qxf5 19. Ng5 h6 20. Rxf5 1-0
1db02d80-a94f-11df-8000-000000010001,True,blitz,checkmated,MennaBarreto,MennaBarreto,Logary,1. Nf3 e6 2. g3 d5 3. Bg2 b6 4. O-O Bb7 5. d3 Nd7 6. e4 dxe4 7. Ng5 Ndf6 8. Nc3 Bb4 9. Ncxe4 Nxe4 10. Nxe4 Bxe4 11. Bxe4 Rb8 12. Bc6+ Ke7 13. Qg4 g6 14. Qxb4+ Qd6 15. Qxd6+ cxd6 16. d4 Nf6 17. c4 Rhc8 18. d5 e5 19. Bg5 h6 20. Bxh6 a5 21. Bg5 e4 22. Rae1 Rxc6 23. dxc6 Ke6 24. f3 Kf5 25. Bxf6 Kxf6 26. fxe4+ Kg7 27. e5 dxe5 28. Rxe5 Rc8 29. Re7 Rxc6 30. Rfxf7+ Kh6 31. h4 Kh5 32. Re5+ Kg4 33. Kg2 Rxc4 34. Rg5# 1-0
9adba316-a94f-11df-8000-000000010001,True,blitz,timeout,MennaBarreto,Logary,MennaBarreto,1. g3 g6 2. Bg2 Bg7 3. d3 c5 4. e4 Nc6 5. c4 Nf6 6. Nc3 O-O 7. Bg5 h6 8. Bxf6 Bxf6 9. Nge2 d6 10. Rb1 a6 11. a3 Qa5 12. O-O Rb8 13. Nd5 Bg7 14. b4 Qxa3 15. b5 axb5 16. cxb5 Nd4 17. Nxd4 Bxd4 18. Nxe7+ Kh7 19. Nxc8 Rbxc8 20. e5 dxe5 21. Bxb7 Rb8 22. Bc6 Qa2 23. Qg4 f5 24. Qf3 Qe6 25. h4 e4 26. dxe4 f4 27. g4 Qf6 28. Qh3 f3 29. Rbe1 Qe5 30. h5 gxh5 31. Qxh5 Qxh5 32. gxh5 Rg8+ 33. Kh2 Rg5 34. Rg1 Rxh5+ 35. Kg3 Rg8+ 36. Kxf3 Rf8+ 37. Ke2 Bxf2 38. Rgf1 Rh2 39. Kd3 Rd8+ 40. Kc4 Bxe1 41. Rxe1 Rc2+ 42. Kb3 Rcd2 43. Bd5 Kg7 44. b6 Kf6 45. b7 Ke5 46. Kc4 Rc2+ 47. Kd3 Rb2 48. Kc3 Rb4 49. Rh1 Rxd5 50. exd5 Rxb7 51. Rxh6 Kxd5 52. Rh5+ Kc6 53. Rh6+ Kb5 54. Rh1 Rg7 55. Rb1+ Kc6 0-1
70d6b050-a950-11df-8000-000000010001,True,blitz,checkmated,MennaBarreto,MennaBarreto,lissuss,1. Nf3 b6 2. g3 Bb7 3. Bg2 e6 4. O-O d5 5. d3 Nf6 6. Nbd2 Nbd7 7. e4 dxe4 8. Ng5 Be7 9. Ndxe4 Nxe4 10. Nxe4 c6 11. Bf4 O-O 12. Nd6 Bxd6 13. Bxd6 Re8 14. d4 Nf6 15. Be5 Nd5 16. c4 Nb4 17. a3 Na6 18. b4 Qd7 19. Qa4 Nc7 20. c5 b5 21. Qd1 Nd5 22. Qg4 a5 23. Qxg7# 1-0
c3b0679e-a950-11df-8000-000000010001,True,blitz,checkmated,MennaBarreto,urvashigada,MennaBarreto,1. d4 d6 2. e3 Nf6 3. Nf3 g6 4. c3 Bg7 5. Nbd2 O-O 6. g3 c5 7. Bg2 Nc6 8. O-O d5 9. Qc2 cxd4 10. cxd4 Bf5 11. Qb3 Na5 12. Qa4 a6 13. b4 Nc4 14. Nxc4 b5 15. Qa5 dxc4 16. Qxd8 Rfxd8 17. a4 Be4 18. axb5 axb5 19. Rxa8 Rxa8 20. Ne5 Bxg2 21. Kxg2 Nd5 22. Nd7 Nxb4 23. Nc5 Nd5 24. Bd2 c3 25. Bc1 b4 26. Re1 e6 27. Re2 Bf8 28. Ne4 b3 29. f4 Ra2 30. Nd2 cxd2 31. Rxd2 Rxd2+ 32. Bxd2 b2 33. e4 b1=Q 34. exd5 Qc2 35. Kf3 Qxd2 36. dxe6 fxe6 37. Kg4 Qe2+ 38. Kg5 Be7+ 39. Kh6 Qh5# 0-1
